,Movie Name,Release Year,Rating,Description,Genre
119,The Cabin in the Woods,2011,7.0,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.","['Horror', ' Mystery', ' Thriller']"
120,Uncharted,2022,6.3,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.","['Action', ' Adventure']"
121,Split,2016,7.3,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,"['Horror', ' Thriller']"
122,Bodies Bodies Bodies,2022,6.3,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong.","['Comedy', ' Horror', ' Thriller']"
123,The Invitation,2022,5.3,"A young woman is courted and swept off her feet, only to realize a gothic conspiracy is afoot.","['Horror', ' Thriller']"
124,Encanto,2021,7.2,A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,"['Animation', ' Comedy', ' Family']"
125,Poker Face,2022,5.1,"A tech billionaire hosts a high-stakes poker game between friends, but the evening takes a turn when long-held secrets are revealed, an elaborate revenge plot unfolds, and thieves break in.","['Action', ' Crime', ' Thriller']"
126,Transfusion,2023,5.2,A former Special Forces operative thrust into the criminal underworld to keep his only son from being taken from him.,"['Crime', ' Drama', ' Thriller']"
127,The Amazing Maurice,2022,6.3,"This story follows Maurice, a goofy streetwise cat, who has the perfect money-making scam. He finds a dumb-looking kid who plays a pipe and has his very own horde of rats, who are strangely literate.","['Animation', ' Adventure', ' Comedy']"
128,Minions: The Rise of Gru,2022,6.6,The untold story of one twelve-year-old's dream to become the world's greatest supervillain.,"['Animation', ' Adventure', ' Comedy']"
129,See How They Run,2022,6.5,"In the West End of 1950s London, plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered.","['Comedy', ' Crime', ' Mystery']"
130,The Wonder,2022,6.6,"A tale of two strangers who transform each other's lives, a psychological thriller, and a story of love pitted against evil.","['Drama', ' Mystery', ' Thriller']"
131,"Three Billboards Outside Ebbing, Missouri",2017,8.1,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"['Comedy', ' Crime', ' Drama']"
132,Shutter Island,2010,8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","['Mystery', ' Thriller']"
133,The Suicide Squad,2021,7.2,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","['Action', ' Adventure', ' Comedy']"
134,Empire of Light,2022,6.7,"A drama about the power of human connection during turbulent times, set in an English coastal town in the early 1980s.","['Drama', ' Romance']"
135,No Time to Die,2021,7.3,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","['Action', ' Adventure', ' Thriller']"
136,The Quiet Girl,2022,7.7,"Rural Ireland 1981. A quiet, neglected girl is sent away from her dysfunctional family to live with foster parents for the summer. She blossoms in their care, but in this house where there are meant to be no secrets, she discovers one.",['Drama']
137,Magazine Dreams,2023,7.3,A Black amateur bodybuilder struggles to find human connection in this exploration of celebrity and violence.,['Drama']
138,Sing 2,2021,7.4,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,"['Animation', ' Adventure', ' Comedy']"
139,Lady Chatterley's Lover,2022,6.6,An unhappily married aristocrat begins a torrid affair with the gamekeeper on her husband's country estate.,"['Drama', ' Romance']"
140,Don't Look Up,2021,7.2,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,"['Comedy', ' Drama', ' Sci-Fi']"
141,No Country for Old Men,2007,8.2,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"['Crime', ' Drama', ' Thriller']"
142,Catch Me If You Can,2002,8.1,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","['Biography', ' Crime', ' Drama']"
143,The Lobster,2015,7.1,"In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods.","['Drama', ' Romance', ' Sci-Fi']"
144,Superbad,2007,7.6,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,['Comedy']
145,The Prestige,2006,8.5,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","['Drama', ' Mystery', ' Sci-Fi']"
146,The Good Nurse,2022,6.8,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.,"['Biography', ' Crime', ' Drama']"
147,Requiem for a Dream,2000,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,['Drama']
148,Harry Potter and the Goblet of Fire,2005,7.7,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.","['Adventure', ' Family', ' Fantasy']"
149,The Lost City,2022,6.1,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.,"['Action', ' Adventure', ' Comedy']"
150,The Grand Budapest Hotel,2014,8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","['Adventure', ' Comedy', ' Crime']"
151,Sing,2016,7.1,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.","['Animation', ' Comedy', ' Family']"
152,F9: The Fast Saga,2021,5.2,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,"['Action', ' Crime', ' Thriller']"
153,Django Unchained,2012,8.4,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.","['Drama', ' Western']"
154,Shazam!,2019,7.0,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,"['Action', ' Adventure', ' Comedy']"
